DDI-DrugBank.d456.s0|DDI-DrugBank.d456.s0.e0|DDI-DrugBank.d456.s0.e1|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e1|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e2|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e3|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e4|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e5|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e6|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e7|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e8|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e0|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e2|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e3|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e4|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e5|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e6|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e7|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e8|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e1|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e3|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e4|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e5|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e6|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e7|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e8|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e2|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e4|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e5|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e6|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e7|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e8|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e3|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e5|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e6|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e7|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e8|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e4|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e5|DDI-DrugBank.d456.s1.e6|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e5|DDI-DrugBank.d456.s1.e7|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e5|DDI-DrugBank.d456.s1.e8|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e5|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e5|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e5|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e5|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e5|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e6|DDI-DrugBank.d456.s1.e7|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e6|DDI-DrugBank.d456.s1.e8|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e6|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e6|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e6|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e6|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e6|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e7|DDI-DrugBank.d456.s1.e8|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e7|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e7|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e7|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e7|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e7|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e8|DDI-DrugBank.d456.s1.e9|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e8|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e8|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e8|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e8|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e9|DDI-DrugBank.d456.s1.e10|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e9|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e9|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e9|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e10|DDI-DrugBank.d456.s1.e11|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e10|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e10|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e11|DDI-DrugBank.d456.s1.e12|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e11|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s1|DDI-DrugBank.d456.s1.e12|DDI-DrugBank.d456.s1.e13|effect
DDI-DrugBank.d456.s2|DDI-DrugBank.d456.s2.e0|DDI-DrugBank.d456.s2.e1|effect
DDI-DrugBank.d456.s5|DDI-DrugBank.d456.s5.e0|DDI-DrugBank.d456.s5.e1|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e0|DDI-DrugBank.d456.s6.e1|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e0|DDI-DrugBank.d456.s6.e2|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e0|DDI-DrugBank.d456.s6.e3|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e0|DDI-DrugBank.d456.s6.e4|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e1|DDI-DrugBank.d456.s6.e2|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e1|DDI-DrugBank.d456.s6.e3|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e1|DDI-DrugBank.d456.s6.e4|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e2|DDI-DrugBank.d456.s6.e3|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e2|DDI-DrugBank.d456.s6.e4|effect
DDI-DrugBank.d456.s6|DDI-DrugBank.d456.s6.e3|DDI-DrugBank.d456.s6.e4|effect
DDI-DrugBank.d456.s13|DDI-DrugBank.d456.s13.e0|DDI-DrugBank.d456.s13.e1|effect
DDI-DrugBank.d100.s0|DDI-DrugBank.d100.s0.e0|DDI-DrugBank.d100.s0.e1|effect
DDI-DrugBank.d100.s1|DDI-DrugBank.d100.s1.e0|DDI-DrugBank.d100.s1.e1|effect
DDI-DrugBank.d468.s0|DDI-DrugBank.d468.s0.e0|DDI-DrugBank.d468.s0.e1|effect
DDI-DrugBank.d468.s0|DDI-DrugBank.d468.s0.e0|DDI-DrugBank.d468.s0.e2|effect
DDI-DrugBank.d468.s0|DDI-DrugBank.d468.s0.e1|DDI-DrugBank.d468.s0.e2|effect
DDI-DrugBank.d468.s2|DDI-DrugBank.d468.s2.e0|DDI-DrugBank.d468.s2.e1|effect
DDI-DrugBank.d468.s2|DDI-DrugBank.d468.s2.e0|DDI-DrugBank.d468.s2.e2|effect
DDI-DrugBank.d468.s2|DDI-DrugBank.d468.s2.e1|DDI-DrugBank.d468.s2.e2|effect
DDI-DrugBank.d468.s4|DDI-DrugBank.d468.s4.e0|DDI-DrugBank.d468.s4.e1|effect
DDI-DrugBank.d468.s4|DDI-DrugBank.d468.s4.e0|DDI-DrugBank.d468.s4.e2|effect
DDI-DrugBank.d468.s4|DDI-DrugBank.d468.s4.e1|DDI-DrugBank.d468.s4.e2|effect
DDI-DrugBank.d468.s5|DDI-DrugBank.d468.s5.e0|DDI-DrugBank.d468.s5.e1|effect
DDI-DrugBank.d468.s5|DDI-DrugBank.d468.s5.e0|DDI-DrugBank.d468.s5.e2|effect
DDI-DrugBank.d468.s5|DDI-DrugBank.d468.s5.e0|DDI-DrugBank.d468.s5.e3|effect
DDI-DrugBank.d468.s5|DDI-DrugBank.d468.s5.e1|DDI-DrugBank.d468.s5.e2|effect
DDI-DrugBank.d468.s5|DDI-DrugBank.d468.s5.e1|DDI-DrugBank.d468.s5.e3|effect
DDI-DrugBank.d468.s5|DDI-DrugBank.d468.s5.e2|DDI-DrugBank.d468.s5.e3|effect
DDI-DrugBank.d468.s6|DDI-DrugBank.d468.s6.e0|DDI-DrugBank.d468.s6.e1|effect
DDI-DrugBank.d468.s6|DDI-DrugBank.d468.s6.e0|DDI-DrugBank.d468.s6.e2|effect
DDI-DrugBank.d468.s6|DDI-DrugBank.d468.s6.e1|DDI-DrugBank.d468.s6.e2|effect
